Frequency(GHz),Substrate_Height(mm),Dielectric_Constant,Patch_Length(mm),Patch_Width(mm),Substrate_Length(mm),Substrate_Width(mm)
1.0,1.9211,4.8571,67.8373,87.6523,79.3636,99.1786
1.0,1.9211,5.5714,63.3756,82.7516,74.9019,94.2779
1.0,1.9211,6.2857,59.6922,78.5905,71.2185,90.1168
1.0,1.9211,7.0,56.5841,75.0,68.1104,86.5263
1.0,1.9211,7.7143,53.9155,71.8605,65.4418,83.3868
1.0,1.9211,8.4286,51.5915,69.0849,63.1178,80.6112
1.0,1.9211,9.1429,49.5437,66.608,61.07,78.1343
1.0,1.9211,9.8571,47.7213,64.3796,59.2477,75.9059
1.0,1.9211,10.5714,46.0858,62.361,57.6121,73.8873
1.0,1.9211,11.2857,44.6072,60.521,56.1335,72.0473
1.0,1.9211,12.0,43.2618,58.8348,54.7881,70.3612
1.0,2.1579,2.0,104.9586,122.4745,117.906,135.4219
1.0,2.1579,2.7143,90.3489,110.0699,103.2963,123.0173
1.0,2.1579,3.4286,80.5241,100.8032,93.4714,113.7506
1.0,2.1579,4.1429,73.3366,93.5414,86.284,106.4888
1.0,2.1579,4.8571,67.784,87.6523,80.7314,100.5997
1.0,2.1579,5.5714,63.3272,82.7516,76.2746,95.699
1.0,2.1579,6.2857,59.6472,78.5905,72.5946,91.5379
1.0,2.1579,7.0,56.5414,75.0,69.4887,87.9474
1.0,2.1579,7.7143,53.8743,71.8605,66.8216,84.8079
1.0,2.1579,8.4286,51.5513,69.0849,64.4987,82.0323
1.0,2.1579,9.1429,49.5042,66.608,62.4515,79.5553
1.0,2.1579,9.8571,47.6822,64.3796,60.6296,77.327
1.0,2.1579,10.5714,46.0468,62.361,58.9942,75.3083
1.0,2.1579,11.2857,44.5682,60.521,57.5156,73.4684
1.0,2.1579,12.0,43.2227,58.8348,56.1701,71.7822
1.0,2.3947,2.0,104.8206,122.4745,119.189,136.8429
1.0,2.3947,2.7143,90.2515,110.0699,104.6199,124.4383
